site_name,latitude,longitude,region,country,state,county,com_type,commod1,commod2,commod3,oper_type,dep_type,prod_size,dev_stat,ore,gangue,work_type,names,ore_ctrl,hrock_type,arock_type
Broken Hill Area,-31.94622,141.49873,OC,Australia,New South Wales,,M,"Lead, Zinc, Copper, Vanadium",,,Unknown,,N,Occurrence,,,,,,,
Braeside Area,-21.3466,121.04927,OC,Australia,Western Australia,,M,"Lead, Copper, Vanadium",,,Unknown,,N,Occurrence,,,,,,,
Jameson Range,-25.8297,127.66576,OC,Australia,Western Australia,,M,"Iron, Titanium, Metal, Vanadium",,,Unknown,,N,Occurrence,,,,,,,
Balla Balla Deposit,-20.9966,117.99936,OC,Australia,Western Australia,,M,Vanadium,,,Unknown,,N,Occurrence,,,,,,,
Andover Deposit,-20.9966,116.99938,OC,Australia,Western Australia,,M,"Iron, Vanadium, Titanium, Metal",,,Unknown,,N,Occurrence,,,,,,,
Gabanintha-Yarrabudda Deposits,-26.99625,118.7493,OC,Australia,Western Australia,,M,"Iron, Titanium, Metal, Vanadium",,,Unknown,,N,Occurrence,,,,,,,
Barrambie Area,-27.49624,118.9993,OC,Australia,Western Australia,,M,"Vanadium, Iron, Titanium, Metal",,,Unknown,,N,Occurrence,,,,,,,
Southern Cross,-31.49606,118.99927,OC,Australia,Western Australia,,M,"Iron, Titanium, Metal, Vanadium",,,Unknown,,N,Occurrence,,,,,,,
Wundowie,-31.49604,115.99935,OC,Australia,Western Australia,,M,Vanadium,,"Titanium, Metal, Iron",Unknown,,Y,Past Producer,"Ilmenite, Magnetite",,,Coates,,Gabbro,
Challa Intrusion Belt See General Comments,-28.27952,118.31597,OC,Australia,Western Australia,,M,"Iron, Titanium, Metal, Vanadium",,,Unknown,,N,Occurrence,,,,,,,
Dolerite Ridge Prospect,-12.99169,130.96853,OC,Australia,Northern Territory*,,M,"Uranium, Lead, Copper, Zinc",,,Unknown,,N,Occurrence,,,,,,,
Duke,-22.57045,144.54695,OC,Australia,Queensland,,M,Uranium,,,Unknown,,N,Occurrence,,"Hematite, Magnetite",,,,,
Abc Prospect,-14.26105,132.35184,OC,Australia,Northern Territory*,,M,Uranium,,,Unknown,,N,Occurrence,,,,,Uranium Minerals Occur In A Felsic Sill That Intrudes Altered Mafic Volcanic Rocks Close To A Major Fault,Basalt,
Airstrip Prospect,-13.49166,132.49489,OC,Australia,Northern Territory*,,M,Uranium,,,Unknown,,N,Occurrence,,,,,,,
